id,carSkillMasterId,typeNo,typeName,cardId,cardName,sortNum,eventType,eventTypeName,skillName,skillContents
1,1,1,スピード,1,サイレンススズカSSR,1,1,育成イベント,逃亡者,最終コーナーで先頭をキープしやすくなる＜作戦・逃げ＞
2,2,1,スピード,1,サイレンススズカSSR,2,1,育成イベント,左回り◯,左回りコースが少し得意になる
3,3,1,スピード,1,サイレンススズカSSR,3,1,育成イベント,左回り◯のアイコンノーマル,
4,4,1,スピード,1,サイレンススズカSSR,4,2,所持スキル,急ぎ足,レース中盤でわずかに前に行きやすくなる＜作戦・逃げ＞
5,5,1,スピード,1,サイレンススズカSSR,5,2,所持スキル,逃げ直線◯,直線で速度がわずかに上がる＜作戦・逃げ＞
6,6,1,スピード,1,サイレンススズカSSR,6,2,所持スキル,逃げコーナー◯,コーナーで速度がわずかに上がる＜作戦・逃げ＞
7,7,1,スピード,1,サイレンススズカSSR,7,2,所持スキル,先頭プライド,レース序盤にわずかに追い抜かれにくくなる＜作戦・逃げ＞
8,8,1,スピード,1,サイレンススズカSSR,8,2,所持スキル,先駆け,レース序盤でわずかに前に行きやすくなる＜作戦・逃げ＞
9,9,1,スピード,1,サイレンススズカSSR,9,2,所持スキル,押し切り準備,最終コーナーで先頭をわずかにキープしやすくなる＜作戦・逃げ＞
10,10,1,スピード,1,サイレンススズカSSR,10,2,所持スキル,集中力,スタートが得意になり出遅れる時間がわずかに少なくなる
11,11,1,スピード,1,サイレンススズカSSR,11,2,所持スキル,前途洋々,レース中盤に先頭だとわずかに疲れにくくなる＜中距離＞
12,12,1,スピード,1,サイレンススズカSSR,12,2,所持スキル,逃げのコツ◯,良い位置に少しつきやすくなる＜作戦・逃げ＞
13,13,1,スピード,2,トウカイテイオー(SSRサポート),1,1,育成イベント,慧眼,レース序盤に後ろの方だと疲れにくくなる＜マイル＞
14,14,1,スピード,2,トウカイテイオー(SSRサポート),2,1,育成イベント,小休憩,レース終盤に持久力がわずかに回復する＜作戦・差し＞
15,15,1,スピード,2,トウカイテイオー(SSRサポート),3,2,所持スキル,アクセラレーション,レース中盤に追い抜くと加速力がわずかに上がる＜マイル＞
16,16,1,スピード,2,トウカイテイオー(SSRサポート),4,2,所持スキル,展開窺い,レース序盤に後ろの方だとわずかに疲れにくくなる＜マイル＞
17,17,1,スピード,2,トウカイテイオー(SSRサポート),5,2,所持スキル,札幌レース場◯,札幌レース場が少し得意になる
18,18,1,スピード,3,ゴールドシチー(SSRサポート),1,1,育成イベント,一陣の風,直線で加速力が上がる
19,19,1,スピード,3,ゴールドシチー(SSRサポート),2,1,育成イベント,先行直線◯,直線で速度がわずかに上がる＜作戦・先行＞
20,20,1,スピード,3,ゴールドシチー(SSRサポート),3,2,所持スキル,巧みなステップ,コース取りがわずかにスムーズになる＜作戦・先行＞
21,21,1,スピード,3,ゴールドシチー(SSRサポート),4,2,所持スキル,垂れウマ回避,ラストスパートで前が塞がれた時の立ち回りがわずかにうまくなる
22,22,1,スピード,3,ゴールドシチー(SSRサポート),5,2,所持スキル,ポジションセンス,レース序盤にコース取りが少しうまくなる
23,23,1,スピード,3,ゴールドシチー(SSRサポート),6,2,所持スキル,臨機応変,レース終盤にコース取りが少しうまくなる
24,24,1,スピード,3,ゴールドシチー(SSRサポート),7,2,所持スキル,イナズマステップ,レース中盤に後ろの方にいると少し囲まれにくくなる＜中距離＞
25,25,1,スピード,3,ゴールドシチー(SSRサポート),8,2,所持スキル,軽やかステップ,左右に動いてもわずかに疲れにくくなる＜中距離＞
26,26,1,スピード,4,サクラバクシンオー(SSRスピード),1,1,育成イベント,スプリントターボ,直線で加速力が上がる＜短距離＞
27,27,1,スピード,4,サクラバクシンオー(SSRスピード),2,1,育成イベント,詰め寄り,レース終盤に後ろの方だとわずかにスパートしやすくなる＜短距離＞
28,28,1,スピード,4,サクラバクシンオー(SSRスピード),3,2,所持スキル,短距離コーナー◯,コーナーで速度がわずかに上がる＜短距離＞
29,29,1,スピード,4,サクラバクシンオー(SSRスピード),4,2,所持スキル,短距離直線◯,直線で速度がわずかに上がる＜短距離＞
30,30,1,スピード,4,サクラバクシンオー(SSRスピード),5,2,所持スキル,大きなリード,レース中盤に大きく差をつけ先頭だとリードをわずかに保ちやすい＜短距離＞
31,31,1,スピード,4,サクラバクシンオー(SSRスピード),6,2,所持スキル,スプリントギア,直線で加速力がわずかに上がる＜短距離＞
32,32,1,スピード,4,サクラバクシンオー(SSRスピード),7,2,所持スキル,善後策,レース中盤に前の方にいるとわずかに抜かしやすくなる＜短距離＞
33,33,1,スピード,4,サクラバクシンオー(SSRスピード),8,2,所持スキル,後方釘付,レース序盤に前の方にいると後方のウマ娘が少し萎縮する＜短距離＞
34,34,1,スピード,4,サクラバクシンオー(SSRスピード),9,2,所持スキル,逃げ焦り,レース中盤に作戦・逃げのウマ娘を焦らせてわずかに疲れやすくする
35,35,1,スピード,4,サクラバクシンオー(SSRスピード),10,2,所持スキル,逃げ駆け引き,作戦が逃げのウマ娘が掛かると落ち着くまで時間がかかる
36,36,1,スピード,5,ニシノフラワー(SSRスピード),1,1,育成イベント,ハヤテ一文字,直線で速度が上がる
37,37,1,スピード,5,ニシノフラワー(SSRスピード),2,1,育成イベント,直線巧者,直線で速度がわずかに上がる
38,38,1,スピード,5,ニシノフラワー(SSRスピード),3,2,所持スキル,先行コーナー◯,コーナーで速度がわずかに上がる＜作戦・先行＞
39,39,1,スピード,5,ニシノフラワー(SSRスピード),4,2,所持スキル,上昇気流,レース終盤に後ろの方だと追い抜く力がわずかに上がる＜マイル＞
40,40,1,スピード,5,ニシノフラワー(SSRスピード),5,2,所持スキル,根幹距離◯,根幹距離（400mの倍数）が少し得意になる
41,41,1,スピード,5,ニシノフラワー(SSRスピード),6,2,所持スキル,阪神レース場◯,阪神レース場が少し得意になる
42,42,1,スピード,5,ニシノフラワー(SSRスピード),7,2,所持スキル,良バ場◯,「良」のバ場状態が少し得意になる
43,43,1,スピード,6,ビコーペガサス(SSR),1,1,育成イベント,プランX,レース中盤に前の方にいると抜かしやすくなる＜短距離＞
44,44,1,スピード,6,ビコーペガサス(SSR),2,1,育成イベント,短距離直線◯,直線で速度がわずかに上がる＜短距離＞
45,45,1,スピード,6,ビコーペガサス(SSR),3,2,所持スキル,詰め寄り,レース終盤に後ろの方だとわずかにスパートしやすくなる＜短距離＞
46,46,1,スピード,6,ビコーペガサス(SSR),4,2,所持スキル,積極策,レース序盤に先頭だとわずかに差を広げやすくなる＜マイル＞
47,47,1,スピード,6,ビコーペガサス(SSR),5,2,所持スキル,上昇気流,レース終盤に後ろの方だと追い抜く力がわずかに上がる＜マイル＞
48,48,1,スピード,6,ビコーペガサス(SSR),6,2,所持スキル,仕掛け準備,レース中盤でゴールに向けて準備を少し整える＜短距離＞
49,49,1,スピード,6,ビコーペガサス(SSR),7,2,所持スキル,様子見,レース中盤に後ろの方だとわずかに疲れにくくなる＜短距離＞
50,50,1,スピード,6,ビコーペガサス(SSR),8,2,所持スキル,抜け駆け禁止,レース序盤に後ろの方にいると前方のウマ娘がわずかに焦る＜短距離＞
51,51,1,スピード,6,ビコーペガサス(SSR),9,2,所持スキル,外枠得意◯,枠番が6〜8のレースが少し得意になる
52,52,1,スピード,7,スペシャルウィーク(イベント配布報酬),1,1,育成イベント,食いしん坊,レース中盤に持久力が回復する＜作戦・先行＞
53,53,1,スピード,7,スペシャルウィーク(イベント配布報酬),2,1,育成イベント,ふり絞り,レース終盤にスキルを多く発動すると持久力がわずかに回復する
54,54,1,スピード,7,スペシャルウィーク(イベント配布報酬),3,1,育成イベント,別腹タンク,力を出し切った時に走る気力がわずかに復活する＜長距離＞
55,55,1,スピード,7,スペシャルウィーク(イベント配布報酬),4,1,育成イベント,栄養補給,レース中盤に持久力がわずかに回復する＜作戦・先行＞
56,56,1,スピード,7,スペシャルウィーク(イベント配布報酬),5,2,所持スキル,末脚,ラストスパートで速度がわずかに上がる
57,57,1,スピード,7,スペシャルウィーク(イベント配布報酬),6,2,所持スキル,食い下がり,最終コーナーで追い抜かれるとわずかに差し返しやすくなる＜中距離＞
58,58,1,スピード,7,スペシャルウィーク(イベント配布報酬),7,2,所持スキル,外差し準備,最終コーナーで外から追い抜くと速度がわずかに上がる＜作戦・差し＞
59,59,1,スピード,7,スペシャルウィーク(イベント配布報酬),8,2,所持スキル,栄養補給,レース中盤に持久力がわずかに回復する＜作戦・先行＞
60,60,1,スピード,7,スペシャルウィーク(イベント配布報酬),9,2,所持スキル,道悪◯,「稍重」「重」「不良」のバ場状態が 少し得意になる
61,61,1,スピード,7,スペシャルウィーク(イベント配布報酬),10,2,所持スキル,雨の日◯,雨の日のレースが少し得意になる
62,62,1,スピード,7,スペシャルウィーク(イベント配布報酬),11,2,所持スキル,差しのコツ◯,良い位置に少しつきやすくなる＜作戦・差し＞
63,63,1,スピード,8,ツインターボ(SSRサポート),1,1,育成イベント,先手必勝,レース序盤で前に行きやすくなる＜作戦・逃げ＞
64,64,1,スピード,8,ツインターボ(SSRサポート),2,1,育成イベント,先頭プライド,レース序盤にわずかに追い抜かれにくくなる＜作戦・逃げ＞
65,65,1,スピード,8,ツインターボ(SSRサポート),3,1,育成イベント,先駆け,レース序盤でわずかに前に行きやすくなる＜作戦・逃げ＞
66,66,1,スピード,8,ツインターボ(SSRサポート),4,1,育成イベント,展開窺い,レース序盤に後ろの方だとわずかに疲れにくくなる＜マイル＞
67,67,1,スピード,8,ツインターボ(SSRサポート),5,2,所持スキル,先駆け,レース序盤でわずかに前に行きやすくなる＜作戦・逃げ＞
68,68,1,スピード,8,ツインターボ(SSRサポート),6,2,所持スキル,勢い任せ,上り坂でわずかに疲れにくくなる＜作戦・逃げ＞
69,69,1,スピード,8,ツインターボ(SSRサポート),7,2,所持スキル,対抗意識◯,自分と同じ作戦のウマ娘が6人以上だと能力を少し発揮しやすい
70,70,1,スピード,8,ツインターボ(SSRサポート),8,2,所持スキル,徹底マーク◯,1番人気のウマ娘と作戦が同じだと能力を少し発揮しやすい
71,71,1,スピード,9,キタサンブラック(SSRサポート),1,1,育成イベント,弧線のプロフェッサー,コーナーが得意になり速度が上がる
72,72,1,スピード,9,キタサンブラック(SSRサポート),2,1,育成イベント,直線巧者,直線で速度がわずかに上がる
73,73,1,スピード,9,キタサンブラック(SSRサポート),3,2,所持スキル,コーナー巧者◯,コーナーが得意になり速度がわずかに上がる
74,74,1,スピード,9,キタサンブラック(SSRサポート),4,2,所持スキル,長距離コーナー◯,コーナーで速度がわずかに上がる＜長距離＞
75,75,1,スピード,9,キタサンブラック(SSRサポート),5,2,所持スキル,逃げ直線◯,直線で速度がわずかに上がる＜作戦・逃げ＞
76,76,1,スピード,9,キタサンブラック(SSRサポート),6,2,所持スキル,危険回避,レース序盤に少し囲まれにくくなる＜作戦・逃げ＞
77,77,1,スピード,9,キタサンブラック(SSRサポート),7,2,所持スキル,集中力,スタートが得意になり出遅れる時間がわずかに少なくなる
78,78,1,スピード,9,キタサンブラック(SSRサポート),8,2,所持スキル,直線回復,直線で持久力がわずかに回復する
79,79,1,スピード,9,キタサンブラック(SSRサポート),9,2,所持スキル,コーナー回復◯,無駄のないコーナリングで持久力がわずかに回復する
80,80,1,スピード,9,キタサンブラック(SSRサポート),10,2,所持スキル,別腹タンク,力を出し切った時に走る気力がわずかに復活する＜長距離＞
81,81,1,スピード,10,カワカミプリンセス(SSRサポート),1,1,育成イベント,注目の踊り子,レース序盤にコース取りが上手くなる
82,82,1,スピード,10,カワカミプリンセス(SSRサポート),2,1,育成イベント,食い下がり,最終コーナーで追い抜かれるとわずかに差し返しやすくなる＜中距離＞
83,83,1,スピード,10,カワカミプリンセス(SSRサポート),3,1,育成イベント,束縛,レース終盤に後ろの方にいると前の速度をわずかに下げる＜中距離＞
84,84,1,スピード,10,カワカミプリンセス(SSRサポート),4,2,所持スキル,まき直し,レース中盤に後ろの方にいると加速力がわずかに上がる＜作戦・先行＞
85,85,1,スピード,10,カワカミプリンセス(SSRサポート),5,2,所持スキル,軽やかステップ,左右に動いてもわずかに疲れにくくなる＜中距離＞
86,86,1,スピード,10,カワカミプリンセス(SSRサポート),6,2,所持スキル,好位追走,レース中盤でわずかに疲れにくくなる＜作戦・先行＞
87,87,1,スピード,10,カワカミプリンセス(SSRサポート),7,2,所持スキル,根幹距離◯,根幹距離（400mの倍数）が少し得意になる
88,88,1,スピード,11,ゴールドシップ(イベント配布報酬),1,1,育成イベント,内的体験,最終コーナーで内ラチ側にいると速度が上がる＜長距離＞
89,89,1,スピード,11,ゴールドシップ(イベント配布報酬),2,1,育成イベント,内弁慶,最終コーナーで内ラチ側にいると速度がわずかに上がる＜長距離＞
90,90,1,スピード,11,ゴールドシップ(イベント配布報酬),3,1,育成イベント,長距離直線◯,直線で速度がわずかに上がる＜長距離＞
91,91,1,スピード,11,ゴールドシップ(イベント配布報酬),4,1,育成イベント,おひとり様◯,自分と同じ作戦のウマ娘がいないと能力を少し発揮しやすい
92,92,1,スピード,11,ゴールドシップ(イベント配布報酬),5,1,育成イベント,阪神レース場◯,阪神レース場が少し得意になる
93,93,1,スピード,11,ゴールドシップ(イベント配布報酬),6,2,所持スキル,ウマ好み,近くにウマ娘がたくさんいると速度がわずかに上がる
94,94,1,スピード,11,ゴールドシップ(イベント配布報酬),7,2,所持スキル,内弁慶,最終コーナーで内ラチ側にいると速度がわずかに上がる＜長距離＞
95,95,1,スピード,11,ゴールドシップ(イベント配布報酬),8,2,所持スキル,追い上げ,レース終盤で追い抜くと速度がわずかに上がる＜長距離＞
96,96,1,スピード,11,ゴールドシップ(イベント配布報酬),9,2,所持スキル,登山家,上り坂がわずかに上手くなる
97,97,1,スピード,11,ゴールドシップ(イベント配布報酬),10,2,所持スキル,地固め,レース序盤にスキルを多く発動すると加速力がわずかに上がる
98,98,1,スピード,11,ゴールドシップ(イベント配布報酬),11,2,所持スキル,直線一気,ラストスパートの直線で加速力がわずかに上がる＜作戦・追込＞
99,99,1,スピード,11,ゴールドシップ(イベント配布報酬),12,2,所持スキル,お見通し,左右に移動すると状況を把握して視野がわずかに広くなる＜作戦・追込＞
100,100,1,スピード,11,ゴールドシップ(イベント配布報酬),13,2,所持スキル,策士,レース終盤に後ろの方にいると視野がわずかに広くなる＜作戦・追込＞
101,101,1,スピード,11,ゴールドシップ(イベント配布報酬),14,2,所持スキル,後方待機,レース中盤に脚を溜めてわずかに疲れにくくなる＜作戦・追込＞
102,102,1,スピード,11,ゴールドシップ(イベント配布報酬),15,2,所持スキル,下校の楽しみ,下り坂でわずかに疲れにくくなる＜作戦・追込＞
103,103,1,スピード,11,ゴールドシップ(イベント配布報酬),16,2,所持スキル,まなざし,レース終盤に目を付けたウマ娘の緊張感がわずかに増す＜作戦・追込＞
104,104,1,スピード,11,ゴールドシップ(イベント配布報酬),17,2,所持スキル,目くらまし,レース終盤で前方のウマ娘の視野が少し狭くなる＜長距離＞
105,105,1,スピード,11,ゴールドシップ(イベント配布報酬),18,2,所持スキル,シンパシー,シンパシーの心を持つウマ娘が多いレースだと少し能力が上がる
106,106,1,スピード,11,ゴールドシップ(イベント配布報酬),19,2,所持スキル,追込のコツ◯,良い位置に少しつきやすくなる＜作戦・追込＞
107,107,1,スピード,12,ナリタブライアン(ストーリー報酬),1,1,育成イベント,くじけぬ精神,レース中盤に後ろの方にいると加速力が少し上がる＜作戦・先行＞
108,108,1,スピード,12,ナリタブライアン(ストーリー報酬),2,1,育成イベント,一匹狼,自分だけが一匹狼の心を持つレースで少し能力が上がる
109,109,1,スピード,12,ナリタブライアン(ストーリー報酬),3,2,所持スキル,中距離直線◯,直線で速度がわずかに上がる＜中距離＞
110,110,1,スピード,12,ナリタブライアン(ストーリー報酬),4,2,所持スキル,中距離コーナー◯,コーナーで速度がわずかに上がる＜中距離＞
111,111,1,スピード,12,ナリタブライアン(ストーリー報酬),5,2,所持スキル,内弁慶,最終コーナーで内ラチ側にいると速度がわずかに上がる＜長距離＞
112,112,1,スピード,12,ナリタブライアン(ストーリー報酬),6,2,所持スキル,長距離直線◯,直線で速度がわずかに上がる＜長距離＞
113,113,1,スピード,12,ナリタブライアン(ストーリー報酬),7,2,所持スキル,外差し準備,最終コーナーで外から追い抜くと速度がわずかに上がる＜作戦・差し＞
114,114,1,スピード,12,ナリタブライアン(ストーリー報酬),8,2,所持スキル,栄養補給,レース中盤に持久力がわずかに回復する＜作戦・先行＞
115,115,1,スピード,12,ナリタブライアン(ストーリー報酬),9,2,所持スキル,好位追走,レース中盤でわずかに疲れにくくなる＜作戦・先行＞
116,116,1,スピード,12,ナリタブライアン(ストーリー報酬),10,2,所持スキル,右回り◯,右回りコースが少し得意になる
117,117,1,スピード,13,スイープトウショウ(SSRスピード),1,1,育成イベント,天命士,レース終盤に後ろの方にいると視野が広くなる＜作戦・追込＞
118,118,1,スピード,13,スイープトウショウ(SSRスピード),2,1,育成イベント,直線一気,ラストスパートの直線で加速力がわずかに上がる＜作戦・追込＞
119,119,1,スピード,13,スイープトウショウ(SSRスピード),3,2,所持スキル,スリップストリーム,前のウマ娘のすぐ後ろに付けると風の抵抗をわずかに受けにくくなる
120,120,1,スピード,13,スイープトウショウ(SSRスピード),4,2,所持スキル,ポジションセンス,レース序盤にコース取りが少しうまくなる
121,121,1,スピード,13,スイープトウショウ(SSRスピード),5,2,所持スキル,お見通し,左右に移動すると状況を把握して視野がわずかに広くなる＜作戦・追込＞
122,122,1,スピード,13,スイープトウショウ(SSRスピード),6,2,所持スキル,下校の楽しみ,下り坂でわずかに疲れにくくなる＜作戦・追込＞
123,123,1,スピード,13,スイープトウショウ(SSRスピード),7,2,所持スキル,ささやき,レース中盤にすぐ前のウマ娘をわずかに戸惑わせる＜中距離＞
124,124,1,スピード,13,スイープトウショウ(SSRスピード),8,2,所持スキル,トリック（前）,レース中盤に前の方にいると後ろの掛かったウマ娘がわずかに疲れる
125,125,1,スピード,13,スイープトウショウ(SSRスピード),9,2,所持スキル,トリック（後）,レース中盤に後ろの方にいると前の掛かったウマ娘がわずかに疲れる
126,126,1,スピード,14,ゼンノロブロイ(SSRハロウィン),1,1,育成イベント,潜伏態勢,レース中盤が迫ったとき後方にいると持久力を回復する＜作戦・差し＞
127,127,1,スピード,14,ゼンノロブロイ(SSRハロウィン),2,1,育成イベント,中距離直線◯,直線で速度がわずかに上がる＜中距離＞
128,128,1,スピード,14,ゼンノロブロイ(SSRハロウィン),3,1,育成イベント,右回り◯,右回りコースが少し得意になる
129,129,1,スピード,14,ゼンノロブロイ(SSRハロウィン),4,1,育成イベント,左回り◯,左回りコースが少し得意になる
130,130,1,スピード,14,ゼンノロブロイ(SSRハロウィン),5,2,所持スキル,直線巧者,直線で速度がわずかに上がる
131,131,1,スピード,14,ゼンノロブロイ(SSRハロウィン),6,2,所持スキル,巧みなステップ,コース取りがわずかにスムーズになる＜作戦・先行＞
132,132,1,スピード,14,ゼンノロブロイ(SSRハロウィン),7,2,所持スキル,垂れウマ回避,ラストスパートで前が塞がれた時の立ち回りがわずかにうまくなる
133,133,1,スピード,14,ゼンノロブロイ(SSRハロウィン),8,2,所持スキル,ポジションセンス,レース序盤にコース取りが少しうまくなる
134,134,1,スピード,14,ゼンノロブロイ(SSRハロウィン),9,2,所持スキル,臨機応変,レース終盤にコース取りが少しうまくなる
135,135,1,スピード,14,ゼンノロブロイ(SSRハロウィン),10,2,所持スキル,読解力,レース中盤に観察力が高まり視野をわずかに広く持てる＜作戦・差し＞
136,136,1,スピード,14,ゼンノロブロイ(SSRハロウィン),11,2,所持スキル,差しのコツ◯,良い位置に少しつきやすくなる＜作戦・差し＞
137,137,1,スピード,14,ゼンノロブロイ(SSRハロウィン),12,2,所持スキル,先行のコツ◯,良い位置に少しつきやすくなる＜作戦・先行＞
138,138,1,スピード,15,マヤノトップガン(SSRサポート),1,1,育成イベント,じゃじゃウマ娘,上り坂で疲れにくくなる＜作戦・逃げ＞
139,139,1,スピード,15,マヤノトップガン(SSRサポート),2,1,育成イベント,直線巧者,直線で速度がわずかに上がる
140,140,1,スピード,15,マヤノトップガン(SSRサポート),3,1,育成イベント,真っ向勝負,レース終盤に前方にいると加速力がわずかに上がる＜作戦・先行＞
141,141,1,スピード,15,マヤノトップガン(SSRサポート),4,1,育成イベント,対抗意識◯,自分と同じ作戦のウマ娘が6人以上だと能力を少し発揮しやすい
142,142,1,スピード,15,マヤノトップガン(SSRサポート),5,2,所持スキル,所持スキル,
143,143,1,スピード,15,マヤノトップガン(SSRサポート),6,2,所持スキル,直線巧者,直線で速度がわずかに上がる
144,144,1,スピード,15,マヤノトップガン(SSRサポート),7,2,所持スキル,コーナー巧者◯,コーナーが得意になり速度がわずかに上がる
145,145,1,スピード,15,マヤノトップガン(SSRサポート),8,2,所持スキル,垂れウマ回避,ラストスパートで前が塞がれた時の立ち回りがわずかにうまくなる
146,146,1,スピード,15,マヤノトップガン(SSRサポート),9,2,所持スキル,臨機応変,レース終盤にコース取りが少しうまくなる
147,147,1,スピード,15,マヤノトップガン(SSRサポート),10,2,所持スキル,直線回復,直線で持久力がわずかに回復する
148,148,1,スピード,15,マヤノトップガン(SSRサポート),11,2,所持スキル,非根幹距離◯,非根幹距離（400mの倍数以外）が少し得意になる
149,149,1,スピード,16,サイレンススズカ(ストーリー報酬),1,1,育成イベント,切り開く者,レース中盤に先頭だと疲れにくくなる＜中距離＞
150,150,1,スピード,16,サイレンススズカ(ストーリー報酬),2,1,育成イベント,左回り◯,左回りコースが少し得意になる
151,151,1,スピード,16,サイレンススズカ(ストーリー報酬),3,2,所持スキル,急ぎ足,レース中盤でわずかに前に行きやすくなる＜作戦・逃げ＞
152,152,1,スピード,16,サイレンススズカ(ストーリー報酬),4,2,所持スキル,逃げ直線◯,直線で速度がわずかに上がる＜作戦・逃げ＞
153,153,1,スピード,16,サイレンススズカ(ストーリー報酬),5,2,所持スキル,逃げコーナー◯,コーナーで速度がわずかに上がる＜作戦・逃げ＞
154,154,1,スピード,16,サイレンススズカ(ストーリー報酬),6,2,所持スキル,先頭プライド,レース序盤にわずかに追い抜かれにくくなる＜作戦・逃げ＞
155,155,1,スピード,16,サイレンススズカ(ストーリー報酬),7,2,所持スキル,先駆け,レース序盤でわずかに前に行きやすくなる＜作戦・逃げ＞
156,156,1,スピード,16,サイレンススズカ(ストーリー報酬),8,2,所持スキル,押し切り準備,最終コーナーで先頭をわずかにキープしやすくなる＜作戦・逃げ＞
157,157,1,スピード,16,サイレンススズカ(ストーリー報酬),9,2,所持スキル,集中力,スタートが得意になり出遅れる時間がわずかに少なくなる
158,158,1,スピード,16,サイレンススズカ(ストーリー報酬),10,2,所持スキル,前途洋々,レース中盤に先頭だとわずかに疲れにくくなる＜中距離＞
159,159,1,スピード,16,サイレンススズカ(ストーリー報酬),11,2,所持スキル,逃げのコツ◯,良い位置に少しつきやすくなる＜作戦・逃げ＞
160,160,1,スピード,17,マチカネフクキタル(SSRサポート),1,1,育成イベント,スーパーラッキーセブン,枠番が7の時に良いことが起きる場合がある
