id,genreNo,genreName,skillName,hurigana,champEvaluation,teamEvaluation,type,anotherSkill,effect,EvaluationSentence,needPint,evaluationPoint,evaluationEfficiency
1,1,通常スキル,アオハル点火・根,あおはるてんかこん,2,1,ノーマル,アオハル燃焼・根,レース終盤にアオハル魂が燃えレース中チームメンバーの根性合計が高いほど脚にちょっと力強さが宿る,終盤で速度を上げるスキル。根性は合計値を上げにくいため効果量を増やしづらいのが難点。取得に必要なPtが非常に高いためチーム競技場には不向き。,200,263,1.32
2,1,通常スキル,アオハル点火・速,あおはるてんかそく,4,2,ノーマル,アオハル燃焼・速,レース中盤にアオハル魂が燃えレース中のチームメンバーのスピード合計が高いほど速度がわずかに上がる,中盤から前に出たい逃げ/先行と特に相性が良く、スピードは高くなりやすいので効果量も増やしやすい。取得に必要なPtが非常に高いためチーム競技場には不向き。,200,263,1.32
3,1,通常スキル,遊びはおしまいっ！,あそびはおしまい,2,3,ノーマル,,すぐ後ろにウマ娘が長くいると速度がわずかに上がる,汎用的なスキルだが、最後尾を走る可能性がある追込とはやや相性が悪い。,160,217,1.36
4,1,通常スキル,あやしげな作戦,あやしげなさくせん,1,2,ノーマル,博打うち,レース後半に速度が少し上がるがすごく疲れてしまうことがある,レース後半のランダムな地点で発動する。発動しやすく必要なPtも低いため競技場に向いているが、確率でスタミナを減少する場合がある。スタミナに余裕がない場合は非推奨。,120,129,1.08
5,1,通常スキル,ありったけ,ありったけ,4,3,ノーマル,決死の覚悟,ラストスパートの直線で好位置にいると速度がわずかに上がる＜中距離＞,発動条件は逃げ以外と相性が良い。発動タイミングがラストスパートの直線に限定されているため、速度上昇効果が無駄になりにくい点が優秀。,160,239,1.36
6,1,通常スキル,急ぎ足,いそぎあし,4,4,ノーマル, 脱出術,レース中盤でわずかに前に行きやすくなる＜作戦・逃げ＞,速度を上げる効果。発動しやすく、逃げの先頭争いに役立つ優秀な速度スキル。,180,239,1.21
7,1,通常スキル,位置取り押し上げ,いちとりあげ,3,3,ノーマル,迅速果断,レース中盤で速度がわずかに上がる＜作戦・差し＞,中盤の好位置取りに役立つが、終盤で後方が発動条件となっているスキルの発動率が下がる可能性がある,180,239,1.21
8,1,通常スキル,内弁慶,うちべんけい,4,4,ノーマル,内的体験,最終コーナーで内ラチ側にいると速度がわずかに上がる＜長距離＞,長距離では最終コーナーでの速度アップはタイミングが良くなることが多い。コースの内側にいる必要があるが、どの作戦でも比較的発動しやすい。,160,239,1.36
9,1,通常スキル,ウマ好み,うまごのみ,3,3,ノーマル,ウママニア, 近くにウマ娘がたくさんいると速度がわずかに上がる,発動率は同じ作戦のウマ娘の人数に左右される。速度スキルの中では必要Ptが低めな点が優秀。,160,217,1.36
10,1,通常スキル,追い上げ,おいあげ,4,4,ノーマル,怒涛の追い上げ,終盤で順位を上げていく後ろの作戦ほど相性が良い。発動率、タイミングともに優秀な速度スキル。, レース終盤で追い抜くと速度がわずかに上がる＜長距離＞,160,239,1.36
11,1,通常スキル,追込コーナー◎,おいこみこーなーにじゅうまる,5,2,ノーマル,追込コーナー◯,コーナーで速度がわずかに上がる＜作戦・追込＞,取得に必要なPtが低くどの距離でも使える。追込で育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
12,1,通常スキル,追込コーナー◯,おいこみこーなーまる,5,5,ノーマル,追込コーナー◎, コーナーで速度がわずかに上がる＜作戦・追込＞,取得に必要なPtが低くどの距離でも使える。追込で育成する場合の優先度は高い。,130,239,1.67
13,1,通常スキル,追込直線◯,おいこみちょくせんまる,5,5,ノーマル,追込直線◎,直線で速度がわずかに上がる＜作戦・追込＞,直線で速度がわずかに上がる＜作戦・追込＞取得に必要なPtが低くどの距離でも使える。追込で育成する場合の優先度は高い。,130,239,1.67
14,1,通常スキル,追込直線◎,おいこみちょくせんにじゅうまる,5,2,ノーマル,追込直線◯,直線で速度がわずかに上がる＜作戦・追込＞,取得に必要なPtが低くどの距離でも使える。追込で育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
15,1,通常スキル,大きなリード,おおきなりーど,1,1,ノーマル,圧倒的リード,レース中盤に大きく差をつけ先頭だとリードをわずかに保ちやすい＜短距離＞,速度を上げる効果。発動条件が厳しく、逃げでも発動しづらいので評価点を上げる目的以外での取得優先度は低め。,170,288,1.54
16,1,通常スキル,影打,かげだ,4,4,ノーマル,真打,レース終盤が迫ったとき前方にいると速度がわずかに上がる＜長距離＞,発動地点がある程度決まっているため無駄になりづらい点が非常に優秀。発動条件も逃げ先行なら安定して満たしやすい。,160,239,1.36
17,1,通常スキル,軽い足取り,かるいあしどり,4,4,ノーマル,意気衝天,レース終盤が迫ったとき前方にいると速度がわずかに上がる＜短距離＞,発動タイミングが非常に優秀な短距離用速度スキル。中盤の後半で発動するため速度アップ効果が無駄になりにくい。発動条件は逃げ先行向き。,160,239,1.36
18,1,通常スキル,ギアシフト,ぎあしふと,4,4,ノーマル,ギアチェンジ,レース中盤に前の方にいるとわずかに抜かしやすくなる＜マイル＞,速度を上げる効果。発動条件は逃げ先行と相性が良い。抜かしやすくなると表現されているが先頭でも発動する。,160,239,1.36
19,1,通常スキル,食い下がり,くいさがり,1,1,ノーマル,勝利への執念,最終コーナーで追い抜かれるとわずかに差し返しやすくなる＜中距離＞,速度が上がり、加速力も若干上がる効果。差しや追込で先に仕掛けた相手を差し返すという運用が効果的。逃げや先行でも発動可能だが、最終コーナーで追い抜かれる展開だと勝利は難しい。,160,239,1.36
20,1,通常スキル,コーナー巧者◯,こーなーこうしゃまる,4,4,ノーマル,弧線のプロフェッサー,コーナーが得意になり速度がわずかに上がる,汎用性が高く、発動しやすい速度スキル。コーナースキルはほとんどのコースで中盤発動になる。,180,217,1.21
21,1,通常スキル,差しコーナー◯,さしこーなーまる,5,5,ノーマル,差しコーナー◎,コーナーで速度がわずかに上がる＜作戦・差し＞,取得に必要なPtが低くどの距離でも使える。差しで育成する場合の優先度は高い。,130,239,1.67
22,1,通常スキル,差しコーナー◎,さしこーなーにじゅうまる,5,2,ノーマル,差しコーナー◯,コーナーで速度がわずかに上がる＜作戦・差し＞,取得に必要なPtが低くどの距離でも使える。差しで育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
23,1,通常スキル,差し直線◎,さしちょくせんにじゅうまる,5,2,ノーマル,差し直線◯,直線で速度がわずかに上がる＜作戦・差し＞,取得に必要なPtが低くどの距離でも使える。差しで育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
24,1,通常スキル,差し直線◯,さしちょくせんまる,5,5,ノーマル,差し直線◎,直線で速度がわずかに上がる＜作戦・差し＞,取得に必要なPtが低くどの距離でも使える。差しで育成する場合の優先度は高い。,130,239,1.67
25,1,通常スキル,仕掛け抜群,しかけばつぐん,2,2,ノーマル,疾風怒濤,レース終盤に後方にいると追い込み態勢に入り位置をわずかに上げる＜作戦・追込＞,速度を上げる効果。発動タイミングはレース終盤ランダムだが、終盤直ぐに発動してしまうとスパートの加速中なので効果を活かしづらい。,180,239,1.21
26,1,通常スキル,尻尾上がり,しっぽあがり,4,4,ノーマル,尻尾の滝登り,レース中盤にスキルを多く発動すると速度がわずかに上がる,他のスキルを3つ発動することで発動する。中盤発動のスキルを複数確保できるならどの作戦でもおすすめ。,100,217,2.17
27,1,通常スキル,十万バリキ,じゅうまんばりき,4,4,ノーマル,百万バリキ,上り坂で速度がわずかに上がる＜作戦・差し＞,発動タイミングはランダムな上り坂。必要Ptが低く、発動しやすいので競技場で特におすすめ。,120,239,1.81
28,1,通常スキル,末脚,すえあし,3,5,ノーマル,全身全霊,ラストスパートで速度がわずかに上がる,発動率が高く、終盤の後半に発動するので、ゴール直前に発動する可能性を除けば効果を活かしやすい。どの作戦でも使える汎用性の高さも優秀。,170,217,1.28
29,1,通常スキル,スリップストリーム,すりっぷすとりーむ,2,3,ノーマル,なし,速度を上げる効果。汎用的なスキルだが、先頭を走る可能性がある逃げとはやや相性が悪い。,前のウマ娘のすぐ後ろに付けると風の抵抗をわずかに受けにくくなる,160,217,1.36
30,1,通常スキル,積極策,せっきょくさく,4,4,ノーマル,マイルの支配者,速度を上げる効果。発動条件は逃げ先行と相性が良く、発動率も高い。,レース序盤に前方にいるとわずかに差を広げやすくなる＜マイル＞,160,239,1.36
31,1,通常スキル,先行コーナー◯,せんこうこーなーまる,5,5,ノーマル,先行コーナー◎,コーナーで速度がわずかに上がる＜作戦・先行＞,取得に必要なPtが低くどの距離でも使える。先行で育成する場合の優先度は高い。,130,239,1.67
32,1,通常スキル,先行コーナー◎,せんこうこーなーにじゅうまる,5,2,ノーマル,先行コーナー◯,コーナーで速度がわずかに上がる＜作戦・先行＞,取得に必要なPtが低くどの距離でも使える。先行で育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
33,1,通常スキル,先行直線◯,せんこうちょくせんまる,4,4,ノーマル,先行直線◎,直線で速度がわずかに上がる＜作戦・先行＞,取得に必要なPtが低くどの距離でも使える。先行で育成する場合は優先して取得したい。,130,239,1.67
34,1,通常スキル,先行直線◎,せんこうちょくせんにじゅうまる,4,2,ノーマル,先行直線◯,直線で速度がわずかに上がる＜作戦・先行＞,取得に必要なPtが低くどの距離でも使える。先行で育成する場合は優先して取得したいが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
35,1,通常スキル,先頭プライド,せんとうぷらいど,4,3,ノーマル,トップランナー,レース序盤または中盤に追い抜きや競り合いにわずかに強くなる＜作戦・逃げ＞,速度を上げる効果。逃げの先頭争いの中で発動しやすい重要なスキル。必要Ptが高いので競技場にはやや不向き。,180,239,1.21
36,1,通常スキル,外差し準備,そとざしじゅんび,3,3,ノーマル,昇り龍,最終コーナーで外から追い抜くと速度がわずかに上がる＜作戦・差し＞,最終コーナーの位置によって恩恵と発動率が影響される。最終コーナーが終盤に含まれる長距離ほど相性が良い。取得に必要なPtが高いためチーム競技場には不向き。,180,239,1.21
37,1,通常スキル,短距離コーナー◯,たんきょりこーなーまる,5,5,ノーマル,短距離コーナー◎,コーナーで速度がわずかに上がる＜短距離＞,取得に必要なPtが低くどの作戦でも使える。短距離向けに育成する場合の優先度は高めだが、短距離はコーナーが存在しないコースがある点に注意。,100,239,2.17
38,1,通常スキル,短距離コーナー◎,たんきょりこーなーにじゅうまる,5,2,ノーマル,短距離コーナー◯,コーナーで速度がわずかに上がる＜短距離＞,取得に必要なPtが低くどの作戦でも使える。短距離はコーナーが存在しないコースがある点に注意。競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
39,1,通常スキル,短距離直線◎,たんきょりちょくせんにじゅうまる,5,2,ノーマル,短距離直線◯,直線で速度がわずかに上がる＜短距離＞,取得に必要なPtが低くどの作戦でも使える。短距離向けに育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
40,1,通常スキル,短距離直線◯,たんきょりちょくせんまる,5,5,ノーマル,短距離直線◎,直線で速度がわずかに上がる＜短距離＞,取得に必要なPtが低くどの作戦でも使える。短距離向けに育成する場合の優先度は高い。,100,239,2.17
41,1,通常スキル,中距離コーナー◎,ちゅうきょりこーなーにじゅうまる,5,2,ノーマル,中距離コーナー◯,コーナーで速度がわずかに上がる＜中距離＞,取得に必要なPtが低くどの作戦でも使える。中距離向けに育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
42,1,通常スキル,中距離コーナー◯,ちゅうきょりこーなーまる,5,5,ノーマル,中距離コーナー◎,コーナーで速度がわずかに上がる＜中距離＞,取得に必要なPtが低くどの作戦でも使える。中距離向けに育成する場合の優先度は高い。,100,239,2.17
43,1,通常スキル,中距離直線◎,ちゅうきょりちょくせんにじゅうまる,5,2,ノーマル,光芒一閃,直線で速度がわずかに上がる＜中距離＞,取得に必要なPtが低くどの作戦でも使える。中距離向けに育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
44,1,通常スキル,中距離直線◯,ちゅうきょりちょくせんまる,5,5,ノーマル,中距離直線◎,直線で速度がわずかに上がる＜中距離＞,取得に必要なPtが低くどの作戦でも使える。中距離向けに育成する場合の優先度は高い。,100,239,2.17
45,1,通常スキル,長距離コーナー◯,ちょうきょりこーなーまる,5,5,ノーマル,長距離コーナー◎,コーナーで速度がわずかに上がる＜長距離＞,取得に必要なPtが低くどの作戦でも使える。長距離向けに育成する場合の優先度は高い。,100,239,2.17
46,1,通常スキル,長距離コーナー◎,ちょうきょりこーなーにじゅうまる,5,2,ノーマル,長距離コーナー◯,コーナーで速度がわずかに上がる＜長距離＞,取得に必要なPtが低くどの作戦でも使える。長距離向けに育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
47,1,通常スキル,長距離直線◎,ちょうきょりちょくせんにじゅうまる,5,2,ノーマル,烈風一閃,直線で速度がわずかに上がる＜長距離＞,取得に必要なPtが低くどの作戦でも使える。長距離向けに育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
48,1,通常スキル,長距離直線◯,ちょうきょりちょくせんまる,5,5,ノーマル,長距離直線◎,直線で速度がわずかに上がる＜長距離＞,取得に必要なPtが低くどの作戦でも使える。長距離向けに育成する場合の優先度は高い。,100,239,2.17
49,1,通常スキル,直線巧者,ちょくせんこうしゃ,3,3,ノーマル,ハヤテ一文字,直線で速度がわずかに上がる,汎用性が高く、発動しやすい速度スキル。作戦や距離の条件がある直線スキルよりも取得に必要なPtが高いので優先度は低め。,170,217,1.28
50,1,通常スキル,詰め寄り,つめより,2,1,ノーマル,電撃の煌めき,レース終盤に後ろの方だとわずかにスパートしやすくなる＜短距離＞,速度上昇と若干の加速力上昇効果。発動条件が厳しめなので、差しや追込でも発動率はやや低め。,160,239,1.36
51,1,通常スキル,テンポアップ,てんぽあっぷ,3,4,ノーマル,キラーチューン,レース中盤に前の方だとわずかに好位置を取りやすくなる＜中距離＞,速度を上げる効果。発動条件は逃げ先行と相性が良く、発動率が高い。,160,239,1.36
52,1,通常スキル,逃げコーナー◯,にげこーなーまる,5,5,ノーマル,逃げコーナー◎,コーナーで速度がわずかに上がる＜作戦・逃げ＞,逃げの速度アップはいつ発動しても無駄になりにくい。取得に必要なPtが低い優秀なスキル。,130,239,1.67
53,1,通常スキル,逃げコーナー◎,にげこーなーにじゅうまる,5,2,ノーマル,逃げコーナー◯,コーナーで速度がわずかに上がる＜作戦・逃げ＞,逃げの速度アップはいつ発動しても無駄になりにくい。競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
54,1,通常スキル,逃げ直線◯,にげちょくせんまる,5,5,ノーマル,逃げ直線◎,直線で速度がわずかに上がる＜作戦・逃げ＞,逃げの速度アップはいつ発動しても無駄になりにくい。取得に必要なPtが低い優秀なスキル。,130,239,1.67
55,1,通常スキル,逃げ直線◎,にげちょくせんにじゅうまる,5,2,ノーマル,逃げ直線◯,直線で速度がわずかに上がる＜作戦・逃げ＞,逃げの速度アップはいつ発動しても無駄になりにくい。競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,270,288,1.87
56,1,通常スキル,抜け出し準備,ぬけだしじゅんび,3,3,ノーマル,スピードスター,最終コーナーでわずかに抜け出しやすくなる＜作戦・先行＞,速度を上げる効果。取得に必要なPtは高いが、発動率しやすく発動位置が最終コーナーに限定されているため効果も活かしやすい。,180,239,1.21
57,1,通常スキル,早仕掛け,はやしかけ,4,3,ノーマル,強攻策,レース中盤に後方にいるとしばらくの間速度がちょっと上がる＜作戦・追込＞,他の速度スキルよりも効果が低い代わりに持続時間が長い。発動条件は易しく、追込で自然に満たしやすい。,180,239,1.21
58,1,通常スキル,ペースアップ,ぺーすあっぷ,4,4,ノーマル,アガッてきた！,レース中盤に追い抜くと速度がわずかに上がる,汎用性は高いが、発動率はそこそこ。先頭を走る可能性がある逃げとはやや相性が悪い。,170,217,1.28
59,1,通常スキル,マイルコーナー◯,まいるこーなーまる,5,5,ノーマル,マイルコーナー◎,コーナーで速度がわずかに上がる＜マイル＞,取得に必要なPtが低くどの作戦でも使える。マイル向けに育成する場合の優先度は高い。,100,239,2.17
60,1,通常スキル,マイルコーナー◎,まいるこーなーにじゅうまる,5,2,ノーマル,マイルコーナー◯,コーナーで速度がわずかに上がる＜マイル＞,取得に必要なPtが低くどの作戦でも使える。マイル向けに育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
61,1,通常スキル,マイル直線◎,まいるちょくせんにじゅうまる,5,2,ノーマル,マイル直線◯,直線で速度がわずかに上がる＜マイル＞,取得に必要なPtが低くどの作戦でも使える。マイル向けに育成する場合の優先度は高いが、競技場では◎にしてもスコア加算は変わらないので◯で止めよう。,210,288,2.38
62,1,通常スキル,マイル直線◯,まいるちょくせんまる,5,5,ノーマル,マイル直線◎,直線で速度がわずかに上がる＜マイル＞,取得に必要なPtが低くどの作戦でも使える。マイル向けに育成する場合の優先度は高い。,100,239,2.17
63,1,通常スキル,負けん気,まけんき,4,4,ノーマル,姉御肌,追い抜きがわずかに成功しやすくなる＜マイル＞,速度を上げる効果。レース全体が対象なので発動しやすく、汎用性も高い。ただし逃げとは相性が悪い。取得に必要なPtが低いので競技場のスコア稼ぎにも優秀。,120,239,1.81
64,1,通常スキル,リードキープ,りーどきーぷ,2,2,ノーマル,先陣の心得,レース中盤に差をつけ先頭だとリードをわずかに保ちやすい＜長距離＞,速度を上げる効果。発動条件がやや厳しく、安定しづらい。中盤速度スキルと賢さを増やすことで発動条件を満たしやすくなる。,160,239,1.36
65,1,通常スキル,レコメンド,れこめんど,4,3,ノーマル,チャート急上昇！,レース中盤に競り合うと速度がわずかに上がる<ダート>,どの作戦でも発動できるが、同じ作戦のウマ娘が多いと発動しやすい。レース中盤で先頭争いが発生する逃げは特に発動率が高い。,180,217,1.21
66,1,通常スキル,アオハル点火・力,あおはるてんかちから,4,2,ノーマル,アオハル燃焼・力,レース終盤にアオハル魂が燃えレース中のチームメンバーのパワー合計が高いほど加速力がわずかに上がる,どの脚質でも使える終盤加速スキル。発動タイミングがスパート開始と重なれば強力。取得に必要なPtが非常に高いためチーム競技場には不向き。,200,263,1.32
67,1,通常スキル,アクセラレーション,あくせられーしょん,2,3,ノーマル,アクセル全開！,レース中盤に追い抜くと加速力がわずかに上がる＜マイル＞,中盤の加速効果は有効に活かしにくいので優先度は低い。中盤で発動する他の速度スキルとは相性が良く、終盤直前で発動した場合は強力。,160,239,1.36
68,1,通常スキル,押し切り準備,おしきりじゅんび,3,2,ノーマル,逃亡者,最終コーナーで先頭をわずかにキープしやすくなる＜作戦・逃げ＞,加速力を上げる効果。ラストスパート開始タイミングと重なれば強力。発動に条件があり、取得に必要なPtが高いためチーム競技場にはやや不向き。,180,239,1.21
69,1,通常スキル,がんばり屋,がんばりや,2,4,ノーマル,努力家,追い抜こうとするときしばらくの間加速力がわずかに上がる＜作戦・差し＞,加速力を上げる効果。効果は活かしづらいが、非常に発動しやすく必要Ptが低いので競技場向きのスキル。,120,239,1.81
70,1,通常スキル,コーナー加速◯,こーなーかそくまる,3,4,ノーマル,曲線のソムリエ,華麗なコーナーワークで加速力がわずかに上がる,汎用性が高く、発動しやすい加速スキル。ただしコーナーでの加速効果は活かせる場面が少ない。,180,217,1.21
71,1,通常スキル,先駆け,さきがけ,4,4,ノーマル,先手必勝,レース序盤でわずかに前に行きやすくなる＜作戦・逃げ＞,加速力を上げる効果。スタートと同時に加速力を上げられるので、逃げの先頭争いにおいて非常に重要。必要Ptが低いのでチーム競技場でもおすすめ。,120,239,1.81
72,1,通常スキル,差し切り体勢,さしきりたいせい,4,3,ノーマル,乗り換え上手,レース終盤で加速力がわずかに上がる＜作戦・差し＞,発動タイミングは終盤の中でランダムだが、ラストスパート開始と重なれば非常に強力。表記されていないが前方にいると発動しない点に注意。,180,239,1.21
73,1,通常スキル,地固め,じがため,5,4,ノーマル,なし,レース序盤にスキルを多く発動すると加速力がわずかに上がる,他のスキルを3つ発動することで発動条件を満たせる。スタートと同時に加速力を上げられるため強力で、序盤から先頭を狙う逃げでは優先度が非常に高い。スタート時に発動する緑スキルと相性が良い。,100,217,2.17
74,1,通常スキル,上昇気流,じょうしょうきりゅう,4,3,ノーマル,豪脚,レース終盤に後ろの方だと追い抜く力がわずかに上がる＜マイル＞,加速力を上げる効果。差しや追込と相性が良いが、モブウマ娘が多いレースでは発動条件を満たしにくいことも。,160,239,1.36
75,1,通常スキル,スプリントギア,すぷりんとぎあ,4,3,ノーマル,スプリントターボ,直線で加速力がわずかに上がる＜短距離＞,汎用性が高く、発動しやすい。短距離向けに育成する場合の優先度は高い。,160,239,1.36
76,1,通常スキル,善後策,ぜんごさく,4,4,ノーマル,プランX,レース終盤が迫ったとき前の方にいるとわずかに抜かしやすくなる＜短距離＞,加速力を上げる効果。レース中盤の後半ランダムな地点で発動する。終盤直前に発動すれば非常に強力。発動条件は先行と相性が良く、先頭だと発動しないため逃げは要注意。,160,239,1.36
77,1,通常スキル,巧みなステップ,たくみなすてっぷ,2,4,ノーマル,技巧派,コース取りがわずかにスムーズになる＜作戦・先行＞,左右に動いた時に加速力を上げる効果。効果は活かしづらいが、発動率が非常に高く必要Ptも低いので競技場向きのスキル。,120,239,1.81
78,1,通常スキル,垂れウマ回避,たれうまかいひ,4,3,ノーマル,ノンストップガール,ラストスパートで前が塞がれた時の立ち回りがわずかにうまくなる,左右への移動と加速力が上がる効果。効果が非常に優秀で逃げ以外なら発動率も高め。取得に必要なPtも低いので様々なレースでおすすめのスキル。,150,174,1.16
79,1,通常スキル,直線一気,ちょくせんいっき,4,2,ノーマル,迫る影,ラストスパートの直線で加速力がわずかに上がる＜作戦・追込＞,終盤突入地点が直線のコースと相性が良い。ラストスパートを開始するタイミングで加速力を上げられるため非常に強力。,180,239,1.21
80,1,通常スキル,直線加速,ちょくせんかそく,3,4,ノーマル,一陣の風,直線で加速力がわずかに上がる,汎用性が高く、発動しやすい加速スキル。発動タイミングがランダムなので効果を活かせる場面は少ない。,170,217,1.28
81,1,通常スキル,直滑降,ちょっかっこう,4,4,ノーマル,決意の直滑降,下り坂がわずかに得意になる＜作戦・先行＞,加速力を上げる効果。発動タイミングはランダムな下り坂。中盤後半~終盤前半が下り坂のコースでおすすめ。必要Ptが低く発動しやすいので競技場向き。,120,239,1.81
